id;quiz;reponse_1;reponse_2;reponse_3;reponse_4;bonne_reponse
1;../fake-data/blob/hipster.txt;a;Koweït Cambridgeshire incremental;withdrawal Ferronnerie Plastic;Granite Investment;Ergonomic USB input
2;../fake-data/blob/hipster.txt;ubiquitous;Buckinghamshire Fish;Gorgeous;drive;a open-source
3;../fake-data/blob/hipster.txt;utilize;withdrawal;Market transmit utilisation;Awesome ivory;web-readiness facilitate orchid
4;../fake-data/blob/hipster.txt;back;red Account de;payment calculate Practical;Electronics firewall;asynchronous de
5;../fake-data/blob/hipster.txt;Pound Mouse vortals;De-engineered green Down-sized;functionalities zero reintermediate;Bike system Riyal;loyalty
6;../fake-data/blob/hipster.txt;b;transmitting Bedfordshire;sensor;Clothing Stagiaire Kip;Granite
7;../fake-data/blob/hipster.txt;solution-oriented motivating Multi-layered;Outdoors;overriding vertical;Integrated e-markets Awesome;Baby Inverse Expanded
8;../fake-data/blob/hipster.txt;Tuna;Avon Ingenieur;Architecte SSL;Music Steel SCSI;dot-com Lorraine Ball
9;../fake-data/blob/hipster.txt;supply-chains Du orange;c;Égypte c;firewall;b Maldives
10;../fake-data/blob/hipster.txt;Rustic Refined;whiteboard Account eyeballs;Automotive;Account;Executif customer Bedfordshire
